street address,town,zip,road side,private side
2023 ARKONA COURT,Niskayuna,12309,Unknown,Copper
2024 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2028 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2032 ARKONA COURT,Niskayuna,12309,Unknown,Copper
2033 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2037 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2040 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2041 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2044 ARKONA COURT,Niskayuna,12309,Unknown,Copper
2045 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2049 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2053 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
898 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
902 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
905 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
906 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
909 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
910 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
913 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
917 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
918 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
921 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
922 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
933 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
937 ASH TREE LANE,Niskayuna,12309,Unknown,Unknown
938 ASH TREE LANE,Niskayuna,12309,Unknown,Copper
1029 ATATEKA ROAD,Niskayuna,12309,Unknown,Unknown
1030 ATATEKA ROAD,Niskayuna,12309,Unknown,Unknown
1035 ATATEKA ROAD,Niskayuna,12309,Unknown,Copper
1036 ATATEKA ROAD,Niskayuna,12309,Unknown,Unknown
1042 ATATEKA ROAD,Niskayuna,12309,Unknown,Unknown
778 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
782 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
783 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
786 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
787 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
790 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
791 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
794 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
798 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
799 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
800 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
841 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
842 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
847 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
850 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
851 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
854 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
855 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
948 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
952 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
953 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
957 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
961 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
965 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
969 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
973 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
977 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
978 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
981 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
982 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
985 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
986 AVON CREST BOULEVARD,Niskayuna,12309,Copper,Copper
1424 BAKER AVENUE,Niskayuna,12309,Unknown,Copper
1426 BAKER AVENUE,Niskayuna,12309,Unknown,Unknown
1428 BAKER AVENUE,Niskayuna,12309,Unknown,Unknown
1430 BAKER AVENUE,Niskayuna,12309,Unknown,Copper
1434 BAKER AVENUE,Niskayuna,12309,Unknown,Unknown
1436 BAKER AVENUE,Niskayuna,12309,Unknown,Unknown
1444 BAKER AVENUE,Niskayuna,12309,Unknown,Copper
